Entity,Percent Change in Deaths (1990-2017)
Afghanistan,-20.08822064719475
Albania,-7.502898808512342
Algeria,-33.224918452187424
American Samoa,-13.104644339638375
Andean Latin America,-43.79610317944309
Andorra,-43.54346036887833
Angola,-34.56700991309793
Antigua and Barbuda,-32.59751019462942
Argentina,-43.55925168617657
Armenia,-29.02444347748737
Australasia,-58.555272490085045
Australia,-59.211272160426546
Austria,-54.51509929489634
Azerbaijan,23.062495771769253
Bahamas,-21.224232000113997
Bahrain,-69.65074553545263
Bangladesh,7.508674886200846
Barbados,-40.33118606522364
Belarus,-1.201896704447323
Belgium,-54.55621915446921
Belize,-36.851359107705036
Benin,-18.017485022316563
Bermuda,-57.127423722608384
Bhutan,-29.228579562589736
Bolivia,-40.88893999436713
Bosnia and Herzegovina,-21.87715336992084
Botswana,-18.736903867813602
Brazil,-47.93364376625044
Brunei,-46.048231874393586
Bulgaria,-26.20382696057885
Burkina Faso,8.134625333983609
Burundi,-42.30983330369042
Cambodia,-36.51658428202481
Cameroon,-11.53543778229333
Canada,-52.32501652567949
Cape Verde,-19.733584126507573
Caribbean,-31.153254485528674
Central African Republic,-11.959413806160578
Central Asia,11.975818851163591
Central Europe,-42.0678535235407
"Central Europe, Eastern Europe, and Central Asia",-21.73134163585609
Central Latin America,-33.14158345836382
Central Sub-Saharan Africa,-18.553040954192003
Chad,-1.8843880452746917
Chile,-50.52002106230377
China,-21.19506145460012
Colombia,-53.430480450670615
Comoros,-39.28276796099956
Congo,-31.64001488593019
Costa Rica,-37.894025899102246
Cote d'Ivoire,-13.127577146098076
Croatia,-45.14941579443419
Cuba,-37.497843128078564
Cyprus,-50.41479200484429
Czechia,-57.105644319657245
Democratic Republic of Congo,-11.033501691144169
Denmark,-62.83269712160738
Djibouti,-26.898553783388206
Dominica,-22.025960755242757
Dominican Republic,5.828990071144353
East Asia,-21.457085996415607
Eastern Europe,-14.755743584485767
Eastern Sub-Saharan Africa,-33.37466002286058
Ecuador,-32.77607718625566
Egypt,-9.489841258843839
El Salvador,-29.6410180469621
England,-59.48588913395151
Equatorial Guinea,-61.992633613453464
Eritrea,-39.315702733967434
Estonia,-53.389146064028694
Eswatini,-8.00179252542296
Ethiopia,-54.6534345303222
Fiji,-11.35428515327101
